"[0.4288, 0.5823, 0.6338, 0.7031, 0.702, 0.8482, 0.8704, 0.8683, 0.8934, 0.8921, 0.9033, 0.9075, 0.888, 0.8897, 0.9068]",0.8948,BoundedPareto-0-Ours,0.001,9.74,1.0,295,44
"[0.4288, 0.5703, 0.6333, 0.7017, 0.6987, 0.859, 0.8815, 0.8793, 0.8934, 0.8935, 0.8898, 0.879, 0.891, 0.9005, 0.8972]",0.8962,BoundedPareto-0-StrongForAll,0.001,13.75,1.0,128,44
"[0.4288, 0.5852, 0.634, 0.7037, 0.702, 0.8665, 0.8752, 0.8795, 0.8989, 0.8956, 0.8954, 0.8957, 0.8828, 0.8902, 0.8904]",0.8878,BoundedPareto-0-Dropout,0.001,9.74,1.0,123,44
"[0.4288, 0.5872, 0.635, 0.7029, 0.6974, 0.8581, 0.8833, 0.8848, 0.9007, 0.9009, 0.901, 0.8983, 0.8976, 0.9025, 0.9004]",0.9002,BoundedMixGauss-0-Ours,0.001,9.74,1.0,442,44
"[0.4288, 0.5703, 0.6333, 0.7017, 0.6987, 0.859, 0.8815, 0.8793, 0.8934, 0.8935, 0.8898, 0.879, 0.891, 0.9005, 0.8972]",0.8962,BoundedMixGauss-0-StrongForAll,0.001,13.75,1.0,128,44
"[0.4288, 0.5845, 0.6301, 0.701, 0.7004, 0.8573, 0.8683, 0.8731, 0.8891, 0.8973, 0.8894, 0.8866, 0.891, 0.8855, 0.8965]",0.891,BoundedMixGauss-0-Dropout,0.001,9.74,1.0,175,44
"[0.4741, 0.6093, 0.7652, 0.806, 0.8136, 0.8701, 0.8986, 0.8988, 0.903, 0.9068, 0.901, 0.9044, 0.903, 0.9, 0.8972]",0.9001,ThreeLevels-0-Ours,0.001,9.74,1.0,435,45
"[0.4741, 0.6076, 0.7417, 0.8059, 0.8237, 0.8772, 0.9007, 0.9027, 0.8983, 0.8918, 0.8961, 0.9011, 0.9054, 0.9061, 0.9069]",0.9061,ThreeLevels-0-StrongForAll,0.001,13.75,1.0,128,45
"[0.4741, 0.6131, 0.7602, 0.8051, 0.8207, 0.8836, 0.9031, 0.9037, 0.9109, 0.9122, 0.8824, 0.8973, 0.9011, 0.893, 0.8896]",0.8946,ThreeLevels-0-Dropout,0.001,9.74,1.0,175,45
"[0.4741, 0.6101, 0.7486, 0.8115, 0.825, 0.8725, 0.899, 0.901, 0.8999, 0.9011, 0.8861, 0.8948, 0.8893, 0.8907, 0.9]",0.8933,BoundedPareto-0-Ours,0.001,9.74,1.0,289,45
"[0.4741, 0.6076, 0.7417, 0.8059, 0.8237, 0.8772, 0.9007, 0.9027, 0.8983, 0.8918, 0.8961, 0.9011, 0.9054, 0.9061, 0.9069]",0.9061,BoundedPareto-0-StrongForAll,0.001,13.75,1.0,128,45
"[0.4741, 0.6103, 0.7502, 0.7968, 0.8153, 0.8803, 0.9, 0.8903, 0.8937, 0.8906, 0.8796, 0.8946, 0.9017, 0.9025, 0.8965]",0.9002,BoundedPareto-0-Dropout,0.001,9.74,1.0,118,45
"[0.4741, 0.6091, 0.7581, 0.8021, 0.8144, 0.87, 0.9052, 0.9101, 0.9047, 0.8923, 0.9007, 0.9089, 0.9103, 0.9011, 0.8988]",0.9034,BoundedMixGauss-0-Ours,0.001,9.74,1.0,447,45
"[0.4741, 0.6076, 0.7417, 0.8059, 0.8237, 0.8772, 0.9007, 0.9027, 0.8983, 0.8918, 0.8961, 0.9011, 0.9054, 0.9061, 0.9069]",0.9061,BoundedMixGauss-0-StrongForAll,0.001,13.75,1.0,128,45
"[0.4741, 0.6147, 0.7667, 0.8021, 0.8211, 0.8778, 0.898, 0.8991, 0.9008, 0.9087, 0.8942, 0.8921, 0.8885, 0.8941, 0.8879]",0.8902,BoundedMixGauss-0-Dropout,0.001,9.74,1.0,180,45
