"[0.1367, 0.1279, 0.3045, 0.4124, 0.3815, 0.5075, 0.5433, 0.5423, 0.6132, 0.6501, 0.7141, 0.7126, 0.7529, 0.7468, 0.7817]",0.7605,BoundedPareto-0-Dropout,0.001,9.74,1.0,123,44
"[0.1348, 0.2519, 0.4305, 0.5566, 0.6053, 0.6868, 0.7416, 0.7595, 0.7891, 0.814, 0.8231, 0.8333, 0.8408, 0.8472, 0.8574]",0.8485,BoundedMixGauss-0-Ours,0.001,9.74,1.0,442,44
"[0.181, 0.0929, 0.1377, 0.2674, 0.2882, 0.4056, 0.4737, 0.4474, 0.5234, 0.5287, 0.6048, 0.6124, 0.6268, 0.602, 0.6721]",0.6336,BoundedMixGauss-0-StrongForAll,0.001,13.75,1.0,128,44
"[0.1435, 0.2484, 0.2903, 0.3305, 0.4245, 0.5693, 0.6122, 0.6635, 0.702, 0.7187, 0.7637, 0.7844, 0.811, 0.8106, 0.8271]",0.8162,BoundedMixGauss-0-Dropout,0.001,9.74,1.0,175,44
"[0.1992, 0.2364, 0.367, 0.4754, 0.561, 0.6083, 0.6492, 0.6817, 0.7079, 0.761, 0.7709, 0.7894, 0.8082, 0.8092, 0.8148]",0.8107,ThreeLevels-0-Ours,0.001,9.74,1.0,435,45
"[0.1226, 0.181, 0.2555, 0.2628, 0.3579, 0.4325, 0.4489, 0.5009, 0.5306, 0.5255, 0.53, 0.5986, 0.5688, 0.6214, 0.6361]",0.6088,ThreeLevels-0-StrongForAll,0.001,13.75,1.0,128,45
"[0.1286, 0.1571, 0.3134, 0.421, 0.5082, 0.5619, 0.5683, 0.6031, 0.6575, 0.6973, 0.7255, 0.7393, 0.7374, 0.7575, 0.755]",0.75,ThreeLevels-0-Dropout,0.001,9.74,1.0,175,45
"[0.1088, 0.1132, 0.3982, 0.4822, 0.574, 0.616, 0.6598, 0.6707, 0.7254, 0.7374, 0.739, 0.7846, 0.7994, 0.8057, 0.8099]",0.805,BoundedPareto-0-Ours,0.001,9.74,1.0,289,45
"[0.1226, 0.181, 0.2555, 0.2628, 0.3579, 0.4325, 0.4489, 0.5009, 0.5306, 0.5255, 0.53, 0.5986, 0.5688, 0.6214, 0.6361]",0.6088,BoundedPareto-0-StrongForAll,0.001,13.75,1.0,128,45
"[0.157, 0.2154, 0.3323, 0.4469, 0.5249, 0.5381, 0.626, 0.5578, 0.6461, 0.6092, 0.644, 0.6809, 0.7397, 0.7067, 0.7518]",0.7327,BoundedPareto-0-Dropout,0.001,9.74,1.0,118,45
